,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C02-NUSVR--nu=0.05-C=0.1,C03-NUSVR--nu=0.25-C=10,C04-NUSVR--nu=0.05-C=0.1,C05-NUSVR--nu=0.75-C=0.1,C06-NUSVR--nu=0.5-C=10,C07-NUSVR--nu=0.05-C=0.1,C08-NUSVR--nu=0.05-C=0.1,C09-NUSVR--nu=0.75-C=0.5,C10-NUSVR--nu=0.25-C=10,T01-NUSVR--nu=0.25-C=10,T02-NUSVR--nu=0.05-C=10,T03-NUSVR--nu=0.25-C=0.1,T04-NUSVR--nu=0.75-C=0.1,T05-NUSVR--nu=0.15-C=0.1,T06-NUSVR--nu=0.75-C=1,T07-NUSVR--nu=0.05-C=0.1,T08-NUSVR--nu=0.75-C=0.1,T09-NUSVR--nu=0.75-C=0.1,T10-NUSVR--nu=0.5-C=0.75
pancreatic delta cell,0.0,0.0,0.0,0.0,0.0,0.02219514305814627,0.0,0.06698310909303871,0.0,0.056184811928982156,0.038086660688497156,0.0,0.0,0.0,0.0,0.0,0.0,0.029575697225624628,0.0,0.0,0.0,0.010729647393719344,0.0
pancreatic ductal cell,0.015969471578098145,0.015969471578098145,0.015969471578098145,0.015969471578098145,0.0,0.01438947865169288,0.0,0.07137112344148075,0.0012059422495370826,0.0,0.0,0.03065609566888471,0.01231030758518047,0.0,0.0,0.0,0.0,0.015170415376355998,0.027516543928410724,0.0,0.0,0.003996486858060858,0.0
pancreatic pp cell,0.008644666387633356,0.008644666387633356,0.008644666387633356,0.008644666387633356,0.0,0.0,0.0,0.0011010433829610293,0.0017243800118542274,0.0,0.07646075999461059,0.0038042997014785048,0.00861479722276223,0.0,0.0,0.00025845182903748854,0.004252803337906113,0.024334977637827063,0.032196665364520774,0.01298093818448742,0.015885753136182724,0.0006774253408693663,0.0
pulmonary ionocyte,0.00021019048322263093,0.00021019048322263093,0.00021019048322263093,0.00021019048322263093,0.0,0.0035240425512367674,0.0,0.0018998285593916648,0.01921241088543395,0.0,0.003914779859007635,0.0,0.0,0.0005719339151515237,0.010246401978087778,0.0,0.02048272122927287,0.0,0.000692138975705871,0.0,0.0,0.0010295496725338748,0.014050189506253868
respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,0.0,0.0,0.0,0.0,0.0,0.05348138620769013,0.0,0.007653833221242872,0.004364588134880945,0.0,0.0,0.038810996040218024,0.06956658892759629,0.0,0.0,0.004347640490334178,0.03095901796765699,0.0,0.0,0.022405788545317867,0.05459391561065539,0.03037859852960083,0.0
salivary gland cell,0.0,0.0,0.0,0.0,0.0,0.012719447091579964,0.0,0.0,0.0,0.01328804547789455,0.0054033015062189315,0.0,0.0,0.006884816912076787,0.0,0.020965304683938105,0.009301332520270246,0.014252042705508087,0.0,0.02370650279082274,0.0006664417185275344,0.011871616595239201,0.0
type ii pneumocyte,0.01409520844669656,0.01409520844669656,0.01409520844669656,0.01409520844669656,0.0,0.005177063348432098,0.0,0.0,0.0,0.0,0.0,0.036150790179756566,0.0,0.08901958784803225,0.052019603270588376,0.0,0.03507795580173695,0.0,0.003642055434265888,0.0,0.006119594565759372,0.0,0.039266844311939275
b cell,0.004895834193504562,0.004895834193504562,0.004895834193504562,0.004895834193504562,0.011221422024360122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027355663246255955,0.0,0.0,0.0,0.0,0.0,0.0
basophil,0.06713801351330635,0.06713801351330635,0.06713801351330635,0.06713801351330635,0.008545669926882075,0.0,0.0233437710212857,0.0,0.05427675843328507,0.050631239628746876,0.0,0.03289166895399448,0.0,0.0,0.0,0.13754512217089518,0.0,0.0,0.0,0.009721433489649614,0.0,0.0,0.0
erythrocyte/erythroid progenitor,0.0,0.0,0.0,0.0,0.5604614968737928,0.012759352182842795,0.0,0.012952778519966478,0.011943757261093365,0.0,0.0,0.00906833736864566,0.026264313172067927,0.0016835314579392872,0.0,0.007042892135026661,0.0143370914421469,0.224655375087915,0.013613718478046205,0.0,0.0039942022875444575,0.14252257950810893,0.0
